,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts
0,27HF23,-86.86669999999998,3.5372222219999996,-2136.0,65.85,0.9422313853826083,62.045936727444754
1,28HF24,-86.99115,2.9509888890000004,-2870.0,267.0,0.7922697878403634,211.53603335337704
2,29HF25,-86.90679999999999,2.720538889,-2690.0,211.0,0.7922697878403634,167.16892523431667
3,31HF27,-87.0196,2.1509888889999997,-2824.0,187.0,0.6606851026842488,123.54811420195453
4,32HF28,-87.0529,2.0343055555,-2503.0,234.0,0.6606851026842488,154.60031402811424
5,33HF29,-86.83429999999998,2.3029166665,-2878.0,196.0,0.7922697878403634,155.28487841671122
6,34HF30,-86.851,2.5019277779999998,-3096.0,21.9,0.7922697878403634,17.350708353703958
7,35HF31,-86.87545,2.688211111,-2721.0,48.8,0.7922697878403634,38.66276564660973
8,37HF33,-87.2196,2.5333166665,-2906.0,10.95,0.7922697878403634,8.675354176851979
9,38HF34,-87.25195,2.337222222,-2736.0,188.0,0.7922697878403634,148.9467201139883
10,39HF35,-87.43719999999999,2.5529166665,-2590.0,53.1,0.7922697878403634,42.0695257343233
11,40HF36,-87.49115,2.6420666665,-1910.0,105.0,0.7922697878403634,83.18832772323816
12,42HF37,-87.58429999999998,2.3548444445,-2593.0,143.0,0.7922697878403634,113.29457966117197
13,43HF38,-87.73819999999999,2.3234555555,-2580.0,159.0,1.1477032432738214,182.48481568053762
14,44HF39,-87.8725,2.567622222,-2682.0,18.2,1.1477032432738214,20.88819902758355
15,46HF41,-88.62444999999998,5.2696000000000005,-3050.0,148.0,2.9996897645233376,443.954085149454
16,A254-1,-83.42545000000001,4.8843055555,-3395.0,154.0,1.3405093990061372,206.43844744694513
17,AC9-52,-82.6833,-2.5333333330000003,-2957.0,117.0,3.375939705049899,394.9849454908382
20,AL721.11,-86.09205,0.6058333335,-2706.0,402.0,0.20919566720372668,84.09665821589812
21,AL721.12,-86.09205,0.606822222,-2728.0,339.0,0.20919566720372668,70.91733118206335
22,AL721.13,-86.09205,0.606822222,-2723.0,352.0,0.20919566720372668,73.6368748557118
23,AL721.14,-86.09205,0.606822222,-2719.0,1398.0,0.20919566720372668,292.4555427508099
25,AL721.2,-86.09205,0.6058333335,-2730.0,402.0,0.20919566720372668,84.09665821589812
26,AL721.3,-86.09205,0.6058333335,-2734.0,268.0,0.20919566720372668,56.06443881059875
27,AL721.4,-86.09205,0.6058333335,-2734.0,908.0,0.20919566720372668,189.94966582098382
28,AL721.5,-86.09205,0.6058333335,-2723.0,628.0,0.20919566720372668,131.37487900394035
29,AL721.6,-86.09205,0.6058333335,-2713.0,1398.0,0.20919566720372668,292.4555427508099
30,AL721.7,-86.09115,0.6058333335,-2708.0,1222.0,0.20919566720372668,255.637105322954
32,AL721.9,-86.09205,0.606822222,-2719.0,557.0,0.20919566720372668,116.52198663247576
33,AL732.1,-86.12545,0.63915,-2734.0,88.0,0.20919566720372668,18.40921871392795
35,AL732.2,-86.12545,0.637222222,-2745.0,92.0,0.20919566720372668,19.246001382742854
36,AL732.3,-86.12545,0.6362333335,-2768.0,176.0,0.20919566720372668,36.8184374278559
37,AL732.4,-86.12545,0.6352944444999999,-2769.0,113.0,0.20919566720372668,23.639110394021113
38,AL732.5,-86.12545,0.6343055555,-2674.0,251.0,0.20919566720372668,52.508112468135394
39,AL732.6,-86.12545,0.6254333335,-2670.0,92.0,0.20919566720372668,19.246001382742854
40,AL732.7,-86.1333,0.6244444444999999,-2676.0,193.0,0.20919566720372668,40.37476377031925
41,AL732.8,-86.1343,0.6244444444999999,-2670.0,1030.0,0.20919566720372668,215.47153721983847
42,AL732.9,-86.1353,0.6234555555,-2672.0,33.0,0.20919566720372668,6.90345701772298
43,AL734.1,-86.08914999999999,0.5686111110000001,-2721.0,1046.0,0.20919566720372668,218.81866789509812
45,AL734.2,-86.08914999999999,0.5696,-2734.0,1147.0,0.20919566720372668,239.9474302826745
46,AL734.3,-86.08914999999999,0.5696,-2734.0,988.0,0.20919566720372668,206.68531919728196
48,AL734.5,-86.09015,0.5696,-2745.0,27.0,0.20919566720372668,5.64828301450062
52,AL734.9,-86.09999999999998,0.5754333335,-2730.0,239.0,0.20919566720372668,49.99776446169068
53,AV21-29,-90.4667,-1.8333333330000001,-3334.0,139.0,8.744276164961951,1215.4543869297113
54,C11-133,-85.81699999999998,-1.517,-2573.0,101.0,1.2952946877929272,130.82476346708566
55,C13-27,-94.4667,4.9833,-3488.0,11.0,5.006948651919013,55.076435171109146
56,C13-28,-94.1333,1.8167,-2659.0,15.0,5.151167122623721,77.26750683935582
57,C13-29,-90.9333,4.75,-3034.0,26.0,3.1761792761823786,82.58066118074184
58,C13-30,-87.75,2.8666833335,-2239.0,121.0,1.1477032432738214,138.8720924361324
59,C13-31,-85.15,-1.0,-2407.0,24.15,1.3229856612768394,31.950103719835667
60,C13-32,-82.4333,4.4667,-3550.0,17.0,2.107969716466462,35.835485179929854
61,C13-6,-95.65,0.1333,-3250.0,136.0,11.254145401981559,1530.563774669492
62,C13-7,-98.6833,-0.5333,-3254.0,333.0,18.069458065508545,6017.129535814345
63,C13-8,-101.3667,-1.2,-3301.0,78.0,31.898401805166483,2488.0753408029855
64,C21-14A,-83.76759999999999,1.1666833335,-3461.0,224.0,0.26410855495223645,59.16031630930097
