,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma)
0,27HF23,-86.86669999999998,3.537222222,-2136.0,65.85,0.9422313853826084,62.045936727444754,POINT (-86.86669999999998 3.537222222),279.0,10.1
1,28HF24,-86.99115,2.9509888890000004,-2870.0,267.0,0.7922697878403634,211.53603335337704,POINT (-86.99115 2.950988889),211.0,7.6
2,29HF25,-86.90679999999998,2.7205388889999997,-2690.0,211.0,0.7922697878403634,167.1689252343167,POINT (-86.90679999999998 2.720538889),203.0,5.9
3,31HF27,-87.0196,2.150988889,-2824.0,187.0,0.6606851026842488,123.54811420195452,POINT (-87.0196 2.150988889),159.0,3.6
4,32HF28,-87.0529,2.0343055555,-2503.0,234.0,0.6606851026842488,154.60031402811424,POINT (-87.05289999999999 2.0343055555),145.0,3.1
5,33HF29,-86.83429999999998,2.3029166665000003,-2878.0,196.0,0.7922697878403634,155.28487841671122,POINT (-86.83429999999998 2.3029166665),163.0,3.6
6,34HF30,-86.851,2.501927778,-3096.0,21.9,0.7922697878403634,17.350708353703958,POINT (-86.851 2.501927778),186.0,4.5
7,35HF31,-86.87545,2.688211111,-2721.0,48.8,0.7922697878403634,38.66276564660973,POINT (-86.87545 2.688211111),202.0,5.5
8,37HF33,-87.2196,2.5333166665,-2906.0,10.95,0.7922697878403634,8.675354176851979,POINT (-87.2196 2.5333166665),195.0,5.6
9,38HF34,-87.25195,2.337222222,-2736.0,188.0,0.7922697878403634,148.9467201139883,POINT (-87.25194999999999 2.337222222),185.0,5.1
10,39HF35,-87.43719999999998,2.5529166665000003,-2590.0,53.1,0.7922697878403634,42.0695257343233,POINT (-87.43719999999998 2.5529166665),196.0,6.1
11,40HF36,-87.49115,2.6420666665,-1910.0,105.0,0.7922697878403634,83.18832772323816,POINT (-87.49115 2.6420666665),194.0,6.5
12,42HF37,-87.58429999999998,2.3548444445,-2593.0,143.0,0.7922697878403634,113.29457966117195,POINT (-87.58429999999998 2.3548444445),199.0,5.3
13,43HF38,-87.73819999999998,2.3234555555000003,-2580.0,159.0,1.1477032432738214,182.4848156805376,POINT (-87.73819999999998 2.3234555555),180.0,4.9
14,44HF39,-87.8725,2.567622222,-2682.0,18.2,1.1477032432738214,20.88819902758355,POINT (-87.8725 2.567622222),115.0,6.2
15,46HF41,-88.62444999999998,5.2696000000000005,-3050.0,148.0,2.9996897645233376,443.954085149454,POINT (-88.62444999999998 5.269600000000001),311.0,13.1
16,A254-1,-83.42545000000001,4.8843055555,-3395.0,154.0,1.3405093990061372,206.43844744694516,POINT (-83.42545000000001 4.8843055555),205.0,6.2
17,AC9-52,-82.6833,-2.5333333330000003,-2957.0,117.0,3.375939705049899,394.9849454908382,POINT (-82.6833 -2.533333333),447.0,24.1
20,AL721.11,-86.09205,0.6058333335,-2706.0,402.0,0.20919566720372668,84.09665821589812,POINT (-86.09205 0.6058333335),62.0,3.0
21,AL721.12,-86.09205,0.606822222,-2728.0,339.0,0.20919566720372668,70.91733118206334,POINT (-86.09205 0.606822222),62.0,3.0
22,AL721.13,-86.09205,0.606822222,-2723.0,352.0,0.20919566720372668,73.6368748557118,POINT (-86.09205 0.606822222),62.0,3.0
23,AL721.14,-86.09205,0.606822222,-2719.0,1398.0,0.20919566720372668,292.45554275080985,POINT (-86.09205 0.606822222),62.0,3.0
25,AL721.2,-86.09205,0.6058333335,-2730.0,402.0,0.20919566720372668,84.09665821589812,POINT (-86.09205 0.6058333335),62.0,3.0
26,AL721.3,-86.09205,0.6058333335,-2734.0,268.0,0.20919566720372668,56.064438810598745,POINT (-86.09205 0.6058333335),62.0,3.0
27,AL721.4,-86.09205,0.6058333335,-2734.0,908.0,0.20919566720372668,189.94966582098385,POINT (-86.09205 0.6058333335),62.0,3.0
28,AL721.5,-86.09205,0.6058333335,-2723.0,628.0,0.20919566720372668,131.37487900394035,POINT (-86.09205 0.6058333335),62.0,3.0
29,AL721.6,-86.09205,0.6058333335,-2713.0,1398.0,0.20919566720372668,292.45554275080985,POINT (-86.09205 0.6058333335),62.0,3.0
30,AL721.7,-86.09115,0.6058333335,-2708.0,1222.0,0.20919566720372668,255.637105322954,POINT (-86.09115 0.6058333335),62.0,3.0
32,AL721.9,-86.09205,0.606822222,-2719.0,557.0,0.20919566720372668,116.52198663247576,POINT (-86.09205 0.606822222),62.0,3.0
33,AL732.1,-86.12545,0.63915,-2734.0,88.0,0.20919566720372668,18.40921871392795,POINT (-86.12545 0.63915),62.0,2.6
35,AL732.2,-86.12545,0.637222222,-2745.0,92.0,0.20919566720372668,19.24600138274285,POINT (-86.12545 0.637222222),62.0,2.6
36,AL732.3,-86.12545,0.6362333335,-2768.0,176.0,0.20919566720372668,36.8184374278559,POINT (-86.12545 0.6362333335),62.0,2.6
